Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR	miRNA
Function	T-Cell Differentiation	5	0.3125	5.90757979	1.02e-3	0.6287	0.0178	hsa-let-7a-2,hsa-let-7b,hsa-let-7e,hsa-let-7a-1,hsa-mir-10a
Function	Tumor Suppressor MiRNAs	13	0.2	3.78085106	1.86e-5	0.0115	1.00e-3	hsa-mir-125a,hsa-let-7a-2,hsa-let-7b,hsa-mir-34b,hsa-mir-29c,hsa-mir-101-2,hsa-let-7e,hsa-let-7a-3,hsa-mir-34c,hsa-mir-1-1,hsa-mir-101-1,hsa-mir-1-2,hsa-let-7a-1
Function	Granulopoiesis	1	0.1	1.89042553	0.4201	1	1	hsa-let-7a-3
Function	Angiogenesis	7	0.10769231	2.03584288	0.0521	1	0.3108	hsa-let-7b,hsa-mir-190b,hsa-mir-149,hsa-mir-30a,hsa-mir-1275,hsa-mir-184,hsa-mir-10b
Function	Anti-Cell Proliferation(Hwang Etal Bjc2007)	2	0.25	4.72606383	0.0629	1	0.3692	hsa-let-7b,hsa-let-7e
Function	Bone Regeneration	8	0.26666667	5.04113475	1.02e-4	0.0625	3.41e-3	hsa-let-7b,hsa-mir-153-2,hsa-mir-153-1,hsa-mir-34c,hsa-mir-1-1,hsa-mir-196a-2,hsa-mir-196a-1,hsa-mir-1-2
Function	Hepatic Stellate Cell Differentiation	1	0.2	3.78085106	0.2382	1	0.9344	hsa-let-7b
Function	Pluripotent Stem Cells Reprogramming	2	0.1	1.89042553	0.2861	1	1	hsa-let-7b,hsa-mir-29b-2
Function	Pancreas Development	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-let-7e,hsa-mir-375
Function	Cardiogenesis	2	0.28571429	5.40121581	0.0489	1	0.2974	hsa-mir-1-1,hsa-mir-1-2
Function	Extracellular Matrix Remodeling	3	0.6	11.34255319	1.33e-3	0.8164	0.0211	hsa-mir-1-2,hsa-mir-1-1,hsa-mir-29b-2
Function	Heart Development	3	0.27272727	5.155706	0.0174	1	0.1335	hsa-mir-1-1,hsa-mir-499a,hsa-mir-1-2
Function	Inflammation	14	0.125	2.36303191	1.66e-3	1	0.0252	hsa-mir-33b,hsa-mir-101-1,hsa-mir-135a-2,hsa-mir-1-2,hsa-mir-1-1,hsa-mir-449b,hsa-mir-182,hsa-mir-125a,hsa-mir-101-2,hsa-mir-135a-1,hsa-mir-184,hsa-mir-449c,hsa-mir-342,hsa-mir-34c
Function	Muscle Damage	3	0.375	7.08909574	6.61e-3	1	0.07	hsa-mir-1-1,hsa-mir-1-2,hsa-mir-499a
Function	Muscle Development	4	0.19047619	3.60081054	0.022	1	0.1633	hsa-mir-30a,hsa-mir-1-1,hsa-mir-1-2,hsa-mir-499a
Function	Osteogenesis	6	0.10169492	1.92246664	0.0875	1	0.4815	hsa-mir-3607,hsa-mir-96,hsa-mir-34c,hsa-mir-30a,hsa-mir-1-1,hsa-mir-1-2
Function	Skeletal Muscle Cell Differentiation	3	0.13636364	2.577853	0.1066	1	0.515	hsa-mir-30a,hsa-mir-1-1,hsa-mir-1-2
Function	T-helper 17 Cell Differentiation	2	0.10526316	1.98992161	0.266	1	1	hsa-mir-1-1,hsa-mir-1-2
Function	Toxicity	5	0.13888889	2.62559102	0.0381	1	0.2387	hsa-mir-103a-2,hsa-mir-29b-2,hsa-mir-1-1,hsa-mir-103a-1,hsa-mir-1-2
Function	Apoptosis	17	0.16037736	3.03181453	1.97e-5	0.0121	9.72e-4	hsa-mir-96,hsa-mir-101-1,hsa-mir-449a,hsa-mir-135a-2,hsa-mir-1-2,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-449b,hsa-mir-10a,hsa-mir-182,hsa-mir-372,hsa-mir-125a,hsa-mir-34b,hsa-mir-29c,hsa-mir-101-2,hsa-mir-135a-1,hsa-mir-34c
Function	DNA Damage Repair	4	0.21052632	3.97984323	0.0154	1	0.1287	hsa-mir-101-2,hsa-mir-101-1,hsa-mir-182,hsa-mir-34c
Function	Immune Response	11	0.11956522	2.2602914	7.59e-3	1	0.0766	hsa-mir-103a-2,hsa-mir-101-1,hsa-mir-338,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-103a-1,hsa-mir-196a-2,hsa-mir-101-2,hsa-mir-196a-1,hsa-mir-342,hsa-mir-34c
Function	Plasma Cell Differentiation	2	0.25	4.72606383	0.0629	1	0.3692	hsa-mir-101-2,hsa-mir-101-1
Function	Brain Development	9	0.25	4.72606383	6.36e-5	0.0391	2.57e-3	hsa-mir-29c,hsa-mir-103a-2,hsa-mir-191,hsa-mir-103a-1,hsa-mir-135a-1,hsa-mir-184,hsa-mir-10a,hsa-mir-10b,hsa-mir-135a-2
Function	Embryonic Stem Cell Differentiation	3	0.09677419	1.82944406	0.2233	1	0.882	hsa-mir-103a-2,hsa-mir-103a-1,hsa-mir-372
Function	Endocytosis	2	0.25	4.72606383	0.0629	1	0.3692	hsa-mir-103a-1,hsa-mir-103a-2
Function	Lipid Metabolism	9	0.2	3.78085106	4.02e-4	0.2471	9.15e-3	hsa-mir-125a,hsa-mir-29c,hsa-mir-33b,hsa-mir-103a-2,hsa-mir-103a-1,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-196a-1,hsa-mir-375
Function	Vascular Inflammation	2	0.13333333	2.52056738	0.1863	1	0.7771	hsa-mir-103a-1,hsa-mir-103a-2
Function	Cardiomyocyte Proliferation	1	0.25	4.72606383	0.1955	1	0.8081	hsa-mir-10a
Function	Embryonic Development 	1	0.05882353	1.11201502	0.6047	1	1	hsa-mir-10a
Function	Megakaryocyte Differentiation	2	0.4	7.56170213	0.0249	1	0.1758	hsa-mir-10b,hsa-mir-10a
Function	Neurotoxicity	4	0.2	3.78085106	0.0185	1	0.14	hsa-mir-96,hsa-mir-184,hsa-mir-10a,hsa-mir-10b
Function	Regulation of Stem Cell	4	0.05063291	0.95717748	0.6116	1	1	hsa-mir-125a,hsa-mir-10a,hsa-mir-182,hsa-mir-372
Function	Smooth Muscle Cell Proliferation	1	0.05555556	1.05023641	0.6259	1	1	hsa-mir-10a
Function	Cell Motility	1	0.04761905	0.90020263	0.6827	1	1	hsa-mir-10b
Function	Adipogenesis	2	0.1	1.89042553	0.2861	1	1	hsa-mir-125a,hsa-mir-29c
Function	Cell Migration	1	0.09090909	1.71856867	0.451	1	1	hsa-mir-125a
Function	Endothelial Cell Proliferation	2	0.33333333	6.30141844	0.0361	1	0.2352	hsa-mir-125a,hsa-mir-449a
Function	Insulin Resistance	2	0.11111111	2.10047281	0.2459	1	0.9437	hsa-mir-125a,hsa-mir-33b
Function	Osteoclast Differentiation	1	0.07142857	1.35030395	0.5341	1	1	hsa-mir-125a
Function	Vascular Remodeling	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-125a
Function	Myogensis	2	0.25	4.72606383	0.0629	1	0.3692	hsa-mir-135a-1,hsa-mir-135a-2
Function	DNA Synthesis	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-149
Function	Toll-Like Receptor Signaling Pathway 	1	0.16666667	3.15070922	0.2786	1	1	hsa-mir-149
Function	Cardiotoxicity	3	0.17647059	3.33604506	0.0569	1	0.3367	hsa-mir-34c,hsa-mir-34b,hsa-mir-182
Function	Circadian Rhythm	4	0.18181818	3.43713733	0.0258	1	0.1722	hsa-mir-29c,hsa-mir-96,hsa-mir-191,hsa-mir-182
Function	Mesenchymal-to-Epithelial Transition	1	0.25	4.72606383	0.1955	1	0.8081	hsa-mir-182
Function	Neuron Differentiation	2	0.14285714	2.7006079	0.1669	1	0.7114	hsa-mir-96,hsa-mir-182
Function	Response to Estrogen	1	0.125	2.36303191	0.3532	1	1	hsa-mir-182
Function	Retinal Pigment Epithelium Development 	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-182
Function	Cardiac Remodeling	1	0.11111111	2.10047281	0.3875	1	1	hsa-mir-184
Function	Keratinocyte Apoptosis(24184144)	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-184
Function	Regulation of Akt Pathway	3	0.11538462	2.18126023	0.1552	1	0.6677	hsa-mir-184,hsa-mir-196a-2,hsa-mir-196a-1
Function	Wound Healing	2	0.08695652	1.64384829	0.3459	1	1	hsa-mir-29b-2,hsa-mir-184
Function	Onco-MiRNAs	4	0.10810811	2.04370328	0.1281	1	0.5943	hsa-mir-191,hsa-mir-196a-2,hsa-mir-196a-1,hsa-mir-372
Function	DNA Damage Response	3	0.1875	3.54454787	0.0486	1	0.299	hsa-mir-34b,hsa-mir-196a-2,hsa-mir-34c
Function	Cell Adhesion	2	0.25	4.72606383	0.0629	1	0.3692	hsa-mir-29c,hsa-mir-29b-2
Function	Collagen Formation	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-29b-2
Function	Nephrotoxicity	3	0.17647059	3.33604506	0.0569	1	0.3367	hsa-mir-30a,hsa-mir-29c,hsa-mir-29b-2
Function	Neuron Apoptosis	2	0.13333333	2.52056738	0.1863	1	0.7771	hsa-mir-29c,hsa-mir-29b-2
Function	Osteoblast Differentiation	4	0.16	3.02468085	0.0395	1	0.2463	hsa-mir-34b,hsa-mir-34c,hsa-mir-29b-2,hsa-mir-449a
Function	Cellular Senescence	1	0.14285714	2.7006079	0.3169	1	1	hsa-mir-29c
Function	Stress Response	1	0.25	4.72606383	0.1955	1	0.8081	hsa-mir-29c
Function	Autophagy	1	0.125	2.36303191	0.3532	1	1	hsa-mir-30a
Function	Chondrogenic Differentiation	1	0.16666667	3.15070922	0.2786	1	1	hsa-mir-30a
Function	Peritoneal Cavity Homeostasis(26495316)	1	0.04347826	0.82192414	0.7158	1	1	hsa-mir-30a
Function	Cholesterol Efflux	1	0.06666667	1.26028369	0.5589	1	1	hsa-mir-33b
Function	Cholesterol Homeostasis	1	0.11111111	2.10047281	0.3875	1	1	hsa-mir-33b
Function	Cholesterol Metabolism	1	0.125	2.36303191	0.3532	1	1	hsa-mir-33b
Function	Actin Filament Network Formation	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-mir-34b,hsa-mir-34c
Function	Multiciliated Cell Differentiation	2	1	18.90425532	2.77e-3	1	0.0365	hsa-mir-34b,hsa-mir-449c
Function	Blood-Tumor Barrier Permeability	1	0.33333333	6.30141844	0.1505	1	0.6738	hsa-mir-34c
Function	Cleavage Stage Development	2	0.5	9.45212766	0.0155	1	0.1287	hsa-mir-375,hsa-mir-34c
Function	Hepatic Stellate Cell Activation	1	0.25	4.72606383	0.1955	1	0.8081	hsa-mir-34c
Function	Podocyte Differentiation	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-34c
Function	Adipocyte Lipolysis	1	0.125	2.36303191	0.3532	1	1	hsa-mir-615
Function	Vascular Smooth Muscle Cell Differentiation	1	0.11111111	2.10047281	0.3875	1	1	hsa-mir-96
Disease	ACTH-Secreting Pituitary Adenoma	3	0.27272727	5.155706	0.0174	1	0.1335	hsa-let-7a-2,hsa-let-7a-1,hsa-let-7a-3
Disease	Alzheimer's Disease	18	0.18	3.40276596	1.89e-6	1.16e-3	1.60e-4	hsa-mir-33b,hsa-mir-103a-2,hsa-mir-101-1,hsa-mir-135a-2,hsa-mir-375,hsa-let-7a-2,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-103a-1,hsa-mir-10a,hsa-mir-29c,hsa-mir-101-2,hsa-mir-153-1,hsa-mir-135a-1,hsa-mir-342,hsa-mir-153-2,hsa-mir-191,hsa-let-7a-1
Disease	Asthma	8	0.19512195	3.68863518	1.02e-3	0.629	0.0173	hsa-let-7a-2,hsa-let-7b,hsa-mir-149,hsa-let-7e,hsa-let-7a-3,hsa-mir-196a-2,hsa-mir-499a,hsa-let-7a-1
Disease	Autoimmune Diseases [unspecific]	7	0.19444444	3.67582742	2.19e-3	1	0.0324	hsa-mir-125a,hsa-let-7a-2,hsa-mir-149,hsa-let-7a-3,hsa-mir-30a,hsa-mir-10a,hsa-let-7a-1
Disease	Brain Neoplasms	4	0.16666667	3.15070922	0.0345	1	0.2265	hsa-let-7a-2,hsa-let-7a-3,hsa-mir-191,hsa-let-7a-1
Disease	Breast Neoplasms	26	0.17567568	3.32101783	9.01e-9	5.54e-6	2.00e-6	hsa-mir-96,hsa-mir-103a-2,hsa-mir-499a,hsa-mir-1-2,hsa-let-7a-2,hsa-mir-338,hsa-mir-190b,hsa-let-7a-3,hsa-mir-30a,hsa-mir-1-1,hsa-mir-103a-1,hsa-mir-10a,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-182,hsa-mir-125a,hsa-mir-34b,hsa-mir-153-1,hsa-mir-184,hsa-mir-196a-1,hsa-mir-342,hsa-mir-153-2,hsa-mir-149,hsa-let-7e,hsa-mir-34c,hsa-let-7a-1
Disease	Carcinoma, Breast	45	0.12931034	2.44451577	NaN	0.00e+0	0.00e+0	hsa-mir-33b,hsa-mir-449a,hsa-mir-375,hsa-mir-202,hsa-let-7a-3,hsa-mir-548t,hsa-mir-3178,hsa-mir-1275,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-153-1,hsa-mir-135a-1,hsa-mir-184,hsa-mir-342,hsa-let-7a-1,hsa-mir-499a,hsa-mir-135a-2,hsa-mir-1-2,hsa-mir-190b,hsa-mir-29b-2,hsa-mir-1-1,hsa-mir-449b,hsa-mir-125a,hsa-mir-101-2,hsa-mir-760,hsa-mir-96,hsa-mir-489,hsa-let-7b,hsa-mir-338,hsa-mir-30a,hsa-mir-182,hsa-mir-34b,hsa-mir-29c,hsa-mir-625,hsa-mir-196a-1,hsa-mir-153-2,hsa-mir-149,hsa-let-7e,hsa-mir-34c,hsa-mir-191,hsa-mir-103a-2,hsa-mir-101-1,hsa-let-7a-2,hsa-mir-103a-1,hsa-mir-10a
Disease	Carcinoma, Breast, Triple Negative	10	0.16666667	3.15070922	8.83e-4	0.5432	0.016	hsa-let-7a-2,hsa-mir-103a-2,hsa-mir-101-2,hsa-let-7a-3,hsa-mir-34c,hsa-mir-30a,hsa-mir-103a-1,hsa-mir-101-1,hsa-mir-182,hsa-let-7a-1
Disease	Carcinoma, Cervical	21	0.15217391	2.87673451	4.11e-6	2.53e-3	3.04e-4	hsa-mir-3156-2,hsa-mir-96,hsa-mir-3156-1,hsa-mir-101-1,hsa-mir-135a-2,hsa-mir-375,hsa-let-7a-2,hsa-mir-3156-3,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-10a,hsa-mir-196a-2,hsa-mir-182,hsa-mir-125a,hsa-mir-29c,hsa-mir-101-2,hsa-mir-135a-1,hsa-mir-196a-1,hsa-mir-425,hsa-mir-342,hsa-let-7a-1
Disease	Carcinoma, Colon	38	0.12063492	2.28051334	NaN	0.00e+0	0.00e+0	hsa-mir-96,hsa-mir-103a-2,hsa-mir-101-1,hsa-mir-499a,hsa-mir-135a-2,hsa-mir-1-2,hsa-mir-375,hsa-let-7a-2,hsa-let-7b,hsa-mir-338,hsa-mir-202,hsa-mir-664a,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-1-1,hsa-mir-103a-1,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-182,hsa-mir-372,hsa-mir-125a,hsa-mir-34b,hsa-mir-29c,hsa-mir-101-2,hsa-mir-153-1,hsa-mir-135a-1,hsa-mir-625,hsa-mir-196a-1,hsa-mir-425,hsa-mir-342,hsa-mir-153-2,hsa-mir-149,hsa-let-7e,hsa-mir-191,hsa-mir-34c,hsa-mir-760,hsa-let-7a-1
Disease	Carcinoma, Endometrial	15	0.25862069	4.88903155	1.07e-7	6.60e-5	1.91e-5	hsa-let-7a-2,hsa-let-7b,hsa-mir-103a-2,hsa-let-7e,hsa-mir-29b-2,hsa-mir-34c,hsa-mir-1-1,hsa-mir-103a-1,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-182,hsa-mir-499a,hsa-mir-449a,hsa-mir-1-2,hsa-let-7a-1
Disease	Carcinoma, Gallbladder	7	0.25925926	4.90110323	3.45e-4	0.212	7.95e-3	hsa-let-7a-2,hsa-mir-202,hsa-let-7a-3,hsa-mir-1-1,hsa-mir-182,hsa-mir-1-2,hsa-let-7a-1
Disease	Carcinoma, Gastric	38	0.13818182	2.61222437	NaN	0.00e+0	0.00e+0	hsa-mir-33b,hsa-mir-96,hsa-mir-103a-2,hsa-mir-101-1,hsa-mir-499a,hsa-mir-449a,hsa-mir-135a-2,hsa-mir-1-2,hsa-mir-375,hsa-let-7a-2,hsa-let-7b,hsa-mir-338,hsa-mir-202,hsa-mir-190b,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-1-1,hsa-mir-103a-1,hsa-mir-30a,hsa-mir-3178,hsa-mir-10a,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-182,hsa-mir-125a,hsa-mir-34b,hsa-mir-29c,hsa-mir-101-2,hsa-mir-135a-1,hsa-mir-625,hsa-mir-449c,hsa-mir-196a-1,hsa-mir-425,hsa-mir-149,hsa-mir-191,hsa-mir-34c,hsa-mir-760,hsa-let-7a-1
Disease	Carcinoma, Hepatocellular	49	0.14454277	2.73247348	NaN	0.00e+0	0.00e+0	hsa-mir-33b,hsa-mir-96,hsa-mir-103a-2,hsa-mir-489,hsa-mir-101-1,hsa-mir-499a,hsa-mir-449a,hsa-mir-135a-2,hsa-mir-1-2,hsa-mir-375,hsa-let-7a-2,hsa-let-7b,hsa-mir-338,hsa-mir-202,hsa-mir-190b,hsa-mir-615,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-1-1,hsa-mir-103a-1,hsa-mir-30a,hsa-mir-3178,hsa-mir-449b,hsa-mir-1275,hsa-mir-10a,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-182,hsa-mir-372,hsa-mir-125a,hsa-mir-34b,hsa-mir-29c,hsa-mir-935,hsa-mir-101-2,hsa-mir-153-1,hsa-mir-135a-1,hsa-mir-625,hsa-mir-184,hsa-mir-449c,hsa-mir-196a-1,hsa-mir-425,hsa-mir-342,hsa-mir-153-2,hsa-mir-149,hsa-let-7e,hsa-mir-191,hsa-mir-34c,hsa-mir-760,hsa-let-7a-1
Disease	Carcinoma, Hepatocellular, HBV-Related	6	0.33333333	6.30141844	2.07e-4	0.1273	5.33e-3	hsa-let-7a-2,hsa-mir-196a-1,hsa-mir-196a-2,hsa-mir-96,hsa-let-7a-1,hsa-let-7a-3
Disease	Carcinoma, Laryngeal	14	0.22222222	4.20094563	2.25e-6	1.39e-3	1.82e-4	hsa-let-7a-2,hsa-mir-29c,hsa-mir-489,hsa-mir-101-2,hsa-mir-29b-2,hsa-mir-1-1,hsa-mir-101-1,hsa-mir-10a,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-196a-1,hsa-mir-1-2,hsa-mir-375,hsa-let-7a-1
Disease	Carcinoma, Lung	32	0.15023474	2.84007592	6.28e-9	3.87e-6	1.60e-6	hsa-mir-33b,hsa-mir-96,hsa-mir-101-1,hsa-mir-499a,hsa-mir-449a,hsa-mir-135a-2,hsa-mir-1-2,hsa-mir-375,hsa-let-7a-2,hsa-let-7b,hsa-mir-338,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-1-1,hsa-mir-10a,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-182,hsa-mir-125a,hsa-mir-34b,hsa-mir-29c,hsa-mir-101-2,hsa-mir-153-1,hsa-mir-135a-1,hsa-mir-196a-1,hsa-mir-342,hsa-mir-153-2,hsa-mir-149,hsa-let-7e,hsa-mir-34c,hsa-let-7a-1
Disease	Carcinoma, Nasopharyngeal	21	0.18421053	3.48236282	1.44e-7	8.84e-5	2.32e-5	hsa-mir-103a-2,hsa-mir-101-1,hsa-mir-449a,hsa-mir-1-2,hsa-let-7a-2,hsa-let-7b,hsa-mir-338,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-1-1,hsa-mir-103a-1,hsa-mir-10b,hsa-mir-372,hsa-mir-125a,hsa-mir-34b,hsa-mir-29c,hsa-mir-101-2,hsa-mir-184,hsa-let-7e,hsa-mir-34c,hsa-let-7a-1
Disease	Carcinoma, Ovarian	27	0.13917526	2.63100461	7.60e-7	4.67e-4	9.00e-5	hsa-mir-96,hsa-mir-489,hsa-mir-101-1,hsa-mir-499a,hsa-mir-449a,hsa-mir-135a-2,hsa-mir-1-2,hsa-let-7a-2,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-1-1,hsa-mir-196a-2,hsa-mir-182,hsa-mir-372,hsa-mir-34b,hsa-mir-101-2,hsa-mir-153-1,hsa-mir-135a-1,hsa-mir-184,hsa-mir-196a-1,hsa-mir-153-2,hsa-mir-149,hsa-let-7e,hsa-mir-34c,hsa-mir-760,hsa-let-7a-1
Disease	Carcinoma, Ovarian, Serous	7	0.29166667	5.51374113	1.53e-4	0.0942	4.19e-3	hsa-let-7a-2,hsa-mir-103a-2,hsa-let-7a-3,hsa-mir-191,hsa-mir-30a,hsa-mir-103a-1,hsa-let-7a-1
Disease	Carcinoma, Pancreatic	22	0.13253012	2.50538324	2.42e-5	0.0149	1.13e-3	hsa-mir-96,hsa-mir-489,hsa-mir-101-1,hsa-mir-375,hsa-let-7a-2,hsa-let-7b,hsa-mir-202,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-182,hsa-mir-125a,hsa-mir-34b,hsa-mir-29c,hsa-mir-101-2,hsa-mir-196a-1,hsa-let-7e,hsa-mir-191,hsa-mir-34c,hsa-let-7a-1
Disease	Carcinoma, Prostate	31	0.12062257	2.28027982	NaN	0.00e+0	0.00e+0	hsa-mir-96,hsa-mir-103a-2,hsa-mir-101-1,hsa-mir-499a,hsa-mir-449a,hsa-mir-135a-2,hsa-mir-1-2,hsa-mir-375,hsa-let-7a-2,hsa-let-7b,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-1-1,hsa-mir-103a-1,hsa-mir-449b,hsa-mir-196a-2,hsa-mir-182,hsa-mir-372,hsa-mir-34b,hsa-mir-3607,hsa-mir-29c,hsa-mir-101-2,hsa-mir-135a-1,hsa-mir-449c,hsa-mir-342,hsa-mir-149,hsa-let-7e,hsa-mir-191,hsa-mir-34c,hsa-let-7a-1
Disease	Carcinoma, Renal Cell	17	0.14285714	2.7006079	9.31e-5	0.0573	3.18e-3	hsa-mir-96,hsa-mir-489,hsa-mir-135a-2,hsa-let-7a-2,hsa-let-7b,hsa-let-7a-3,hsa-mir-30a,hsa-mir-196a-2,hsa-mir-182,hsa-mir-372,hsa-mir-34b,hsa-mir-135a-1,hsa-mir-184,hsa-mir-196a-1,hsa-let-7e,hsa-mir-34c,hsa-let-7a-1
Disease	Carcinoma, Thyroid	7	0.19444444	3.67582742	2.19e-3	1	0.0324	hsa-mir-125a,hsa-let-7a-2,hsa-mir-618,hsa-mir-149,hsa-let-7a-3,hsa-mir-449b,hsa-let-7a-1
Disease	Carcinoma, Thyroid, Papillary	12	0.21428571	4.05091185	1.92e-5	0.0118	1.01e-3	hsa-let-7a-2,hsa-let-7b,hsa-mir-34b,hsa-mir-96,hsa-let-7e,hsa-let-7a-3,hsa-mir-34c,hsa-mir-30a,hsa-mir-10a,hsa-mir-182,hsa-mir-375,hsa-let-7a-1
Disease	Cardiovascular Diseases [unspecific]	15	0.234375	4.43068484	4.43e-7	2.72e-4	6.05e-5	hsa-mir-425,hsa-let-7a-2,hsa-let-7b,hsa-mir-34b,hsa-mir-29c,hsa-mir-33b,hsa-mir-149,hsa-let-7a-3,hsa-mir-29b-2,hsa-mir-34c,hsa-mir-1-1,hsa-mir-10b,hsa-mir-499a,hsa-mir-1-2,hsa-let-7a-1
