Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR	miRNA
Function	Hormone-mediated Signaling Pathway 	15	0.25862069	2.11782933	2.92e-3	1	0.0405	hsa-mir-24-1,hsa-mir-135b,hsa-mir-9-1,hsa-mir-221,hsa-mir-20a,hsa-mir-17,hsa-mir-92a-1,hsa-mir-146a,hsa-mir-24-2,hsa-mir-18a,hsa-mir-9-3,hsa-mir-223,hsa-mir-9-2,hsa-mir-19a,hsa-mir-92a-2
Function	Immune Response	31	0.33695652	2.75931677	2.38e-8	1.82e-5	3.84e-6	hsa-mir-186,hsa-mir-203a,hsa-mir-362,hsa-mir-9-1,hsa-mir-92a-1,hsa-mir-203b,hsa-mir-146b,hsa-mir-196b,hsa-mir-9-2,hsa-mir-210,hsa-mir-155,hsa-mir-19b-1,hsa-mir-105-1,hsa-mir-18a,hsa-mir-92a-2,hsa-mir-150,hsa-mir-532,hsa-mir-105-2,hsa-mir-500a,hsa-mir-19b-2,hsa-mir-146a,hsa-mir-93,hsa-mir-590,hsa-mir-217,hsa-mir-20a,hsa-mir-17,hsa-mir-31,hsa-mir-140,hsa-mir-9-3,hsa-mir-223,hsa-mir-19a
Function	Immune System(Xiao's Cell2010)	12	0.57142857	4.67939434	8.88e-7	6.80e-4	7.17e-5	hsa-mir-18b,hsa-mir-223,hsa-mir-106b,hsa-mir-17,hsa-mir-146a,hsa-mir-18a,hsa-mir-19a,hsa-mir-93,hsa-mir-155,hsa-mir-20a,hsa-mir-150,hsa-mir-106a
Function	Keratinocyte Apoptosis(24184144)	1	0.5	4.09447005	0.2294	1	0.918	hsa-mir-18a
Function	Onco-MiRNAs	24	0.64864865	5.31174492	3.14e-14	2.40e-11	9.29e-12	hsa-mir-24-1,hsa-mir-19b-1,hsa-mir-203a,hsa-mir-221,hsa-mir-20a,hsa-mir-106a,hsa-mir-18b,hsa-mir-106b,hsa-mir-224,hsa-mir-17,hsa-mir-92a-1,hsa-mir-19b-2,hsa-mir-146a,hsa-mir-146b,hsa-mir-222,hsa-mir-24-2,hsa-mir-18a,hsa-mir-210,hsa-mir-455,hsa-mir-93,hsa-mir-19a,hsa-mir-92a-2,hsa-mir-155,hsa-mir-150
Function	Regulation of Akt Pathway	11	0.42307692	3.46455158	1.02e-4	0.0783	2.88e-3	hsa-mir-19b-1,hsa-mir-221,hsa-mir-20a,hsa-mir-17,hsa-mir-92a-1,hsa-mir-19b-2,hsa-mir-222,hsa-mir-18a,hsa-mir-19a,hsa-mir-92a-2,hsa-mir-155
Function	Response to Hypoxia	7	0.58333333	4.77688172	1.70e-4	0.1305	4.59e-3	hsa-mir-137,hsa-mir-210,hsa-mir-138-1,hsa-mir-155,hsa-mir-138-2,hsa-mir-18a,hsa-mir-196b
Function	T-Cell Activation	5	0.625	5.11808756	1.07e-3	0.8168	0.0191	hsa-mir-223,hsa-mir-146a,hsa-mir-18a,hsa-mir-155,hsa-mir-31
Function	Wound Healing	8	0.34782609	2.84832699	4.15e-3	1	0.0538	hsa-mir-203a,hsa-mir-203b,hsa-mir-31,hsa-mir-378a,hsa-mir-18a,hsa-mir-210,hsa-mir-142,hsa-mir-155
Function	Adipocyte Differentiation	11	0.26829268	2.19703271	7.82e-3	1	0.0852	hsa-mir-221,hsa-mir-20a,hsa-mir-17,hsa-mir-92a-1,hsa-mir-222,hsa-mir-130a,hsa-mir-378a,hsa-mir-137,hsa-mir-19a,hsa-mir-92a-2,hsa-mir-378c
Function	Bone Regeneration	13	0.43333333	3.54854071	1.69e-5	0.013	7.52e-4	hsa-mir-24-1,hsa-mir-221,hsa-mir-18b,hsa-mir-17,hsa-mir-92a-1,hsa-mir-130b,hsa-mir-222,hsa-mir-24-2,hsa-mir-210,hsa-mir-93,hsa-mir-19a,hsa-mir-92a-2,hsa-mir-155
Function	Brain Development	11	0.30555556	2.50217614	2.59e-3	1	0.0372	hsa-mir-135b,hsa-mir-9-1,hsa-mir-221,hsa-mir-20a,hsa-mir-106a,hsa-mir-106b,hsa-mir-17,hsa-mir-222,hsa-mir-9-3,hsa-mir-9-2,hsa-mir-155
Function	Cardiac Remodeling	3	0.33333333	2.7296467	0.0864	1	0.4514	hsa-mir-17,hsa-mir-146a,hsa-mir-222
Function	Cell Adhesion	1	0.125	1.02361751	0.648	1	1	hsa-mir-17
Function	Cell Proliferation	25	0.3125	2.55904378	3.11e-6	2.39e-3	1.98e-4	hsa-mir-24-1,hsa-mir-203a,hsa-mir-221,hsa-mir-9-1,hsa-mir-224,hsa-mir-17,hsa-mir-92a-1,hsa-mir-203b,hsa-mir-129-1,hsa-mir-509-1,hsa-mir-140,hsa-mir-146a,hsa-mir-222,hsa-mir-24-2,hsa-mir-130a,hsa-mir-378a,hsa-mir-196b,hsa-mir-509-2,hsa-mir-9-3,hsa-mir-210,hsa-mir-9-2,hsa-mir-93,hsa-mir-92a-2,hsa-mir-378c,hsa-mir-150
Function	Granulopoiesis	5	0.5	4.09447005	3.90e-3	1	0.0517	hsa-mir-223,hsa-mir-17,hsa-mir-130a,hsa-mir-155,hsa-mir-196b
Function	Inflammation	34	0.30357143	2.48592824	9.18e-8	7.03e-5	1.09e-5	hsa-mir-584,hsa-mir-24-1,hsa-mir-203a,hsa-mir-9-1,hsa-mir-203b,hsa-mir-146b,hsa-mir-137,hsa-mir-9-2,hsa-mir-210,hsa-mir-138-1,hsa-mir-155,hsa-mir-135b,hsa-mir-335,hsa-mir-222,hsa-mir-105-1,hsa-mir-150,hsa-mir-33a,hsa-mir-221,hsa-mir-105-2,hsa-mir-188,hsa-mir-146a,hsa-mir-138-2,hsa-mir-455,hsa-mir-93,hsa-mir-20a,hsa-mir-17,hsa-mir-130b,hsa-mir-31,hsa-mir-140,hsa-mir-24-2,hsa-mir-223,hsa-mir-9-3,hsa-mir-142,hsa-mir-19a
Function	Latent Virus Replication	8	0.47058824	3.85361887	3.97e-4	0.3038	8.59e-3	hsa-mir-223,hsa-mir-106b,hsa-mir-20a,hsa-mir-17,hsa-mir-92a-1,hsa-mir-93,hsa-mir-92a-2,hsa-mir-155
Function	Muscle Regeneration	2	1	8.18894009	0.0149	1	0.1427	hsa-mir-17,hsa-mir-20a
Function	Myoblast Differentiation	3	1	8.18894009	1.80e-3	1	0.0293	hsa-mir-17,hsa-mir-31,hsa-mir-106a
Function	Myogensis	5	0.625	5.11808756	1.07e-3	0.8168	0.0191	hsa-mir-17,hsa-mir-135b,hsa-mir-222,hsa-mir-221,hsa-mir-20a
Function	Osteoclast Differentiation	3	0.21428571	1.75477288	0.2393	1	0.8554	hsa-mir-17,hsa-mir-146a,hsa-mir-20a
Function	Osteogenesis	15	0.25423729	2.08193392	3.50e-3	1	0.0474	hsa-mir-590,hsa-mir-33a,hsa-mir-221,hsa-mir-106a,hsa-mir-224,hsa-mir-17,hsa-mir-31,hsa-mir-140,hsa-mir-222,hsa-mir-548d-2,hsa-mir-378a,hsa-mir-138-2,hsa-mir-138-1,hsa-mir-378c,hsa-mir-548d-1
Function	Regulation of Stem Cell	21	0.26582278	2.17680686	2.84e-4	0.2179	6.56e-3	hsa-mir-24-1,hsa-mir-135b,hsa-mir-203a,hsa-mir-9-1,hsa-mir-221,hsa-mir-20a,hsa-mir-106a,hsa-mir-106b,hsa-mir-17,hsa-mir-203b,hsa-mir-146a,hsa-mir-222,hsa-mir-24-2,hsa-mir-9-3,hsa-mir-137,hsa-mir-223,hsa-mir-9-2,hsa-mir-210,hsa-mir-142,hsa-mir-93,hsa-mir-155
Function	Vascular Inflammation	4	0.26666667	2.18371736	0.1	1	0.5104	hsa-mir-24-1,hsa-mir-17,hsa-mir-24-2,hsa-mir-20a
Function	Cell Motility	7	0.33333333	2.7296467	9.46e-3	1	0.0995	hsa-mir-584,hsa-mir-9-2,hsa-mir-222,hsa-mir-130b,hsa-mir-9-1,hsa-mir-9-3,hsa-mir-31
Function	Embryonic Development 	4	0.23529412	1.92680943	0.144	1	0.6477	hsa-mir-140,hsa-mir-135b,hsa-mir-130b,hsa-mir-93
Function	Endothelial Cell Apoptosis	2	1	8.18894009	0.0149	1	0.1427	hsa-mir-223,hsa-mir-19a
Function	Neurotoxicity	5	0.25	2.04723502	0.0866	1	0.4463	hsa-mir-1226,hsa-mir-210,hsa-mir-92a-1,hsa-mir-19a,hsa-mir-92a-2
Function	Lipid Metabolism	8	0.17777778	1.45581157	0.1747	1	0.7393	hsa-mir-33a,hsa-mir-224,hsa-mir-92a-1,hsa-mir-335,hsa-mir-378a,hsa-mir-196b,hsa-mir-92a-2,hsa-mir-378c
Function	Toxicity	3	0.08333333	0.68241167	0.8354	1	1	hsa-mir-6720,hsa-mir-224,hsa-mir-150
Function	Skeletal Muscle Cell Differentiation	4	0.18181818	1.4888982	0.2773	1	0.9477	hsa-mir-20a,hsa-mir-146a,hsa-mir-138-2,hsa-mir-138-1
Function	Smooth Muscle Cell Proliferation	4	0.22222222	1.81976446	0.1684	1	0.7407	hsa-mir-140,hsa-mir-222,hsa-mir-138-1,hsa-mir-138-2
Function	Tumor Suppressor MiRNAs	2	0.03076923	0.25196739	0.9981	1	1	hsa-mir-138-2,hsa-mir-138-1
Function	Adipogenesis	6	0.3	2.45668203	0.0274	1	0.1898	hsa-mir-137,hsa-mir-188,hsa-mir-140,hsa-mir-24-1,hsa-mir-455,hsa-mir-24-2
Function	Glucose Metabolism	4	0.14285714	1.16984858	0.4523	1	1	hsa-mir-20a,hsa-mir-129-1,hsa-mir-129-2,hsa-mir-223
Function	T-helper 17 Cell Differentiation	5	0.26315789	2.15498423	0.0718	1	0.3915	hsa-mir-210,hsa-mir-106a,hsa-mir-93,hsa-mir-155,hsa-mir-20a
Function	Cholesterol Metabolism	3	0.375	3.07085253	0.0631	1	0.3526	hsa-mir-33a,hsa-mir-92a-1,hsa-mir-92a-2
Function	Chondrocyte Development	5	0.33333333	2.7296467	0.0278	1	0.1914	hsa-mir-210,hsa-mir-146a,hsa-mir-222,hsa-mir-92a-1,hsa-mir-92a-2
Function	Embryonic Stem Cell Differentiation	11	0.35483871	2.90575294	6.39e-4	0.4897	0.0128	hsa-mir-24-1,hsa-mir-9-1,hsa-mir-105-2,hsa-mir-92a-1,hsa-mir-130b,hsa-mir-24-2,hsa-mir-105-1,hsa-mir-9-3,hsa-mir-223,hsa-mir-9-2,hsa-mir-92a-2
Function	Cell Migration	5	0.45454545	3.7222455	6.44e-3	1	0.0758	hsa-mir-137,hsa-mir-146a,hsa-mir-142,hsa-mir-509-1,hsa-mir-509-2
Function	Dopamine Transporter Dysfunction	1	0.5	4.09447005	0.2294	1	0.918	hsa-mir-137
Function	Oxidative Stress	4	0.4	3.27557604	0.025	1	0.1829	hsa-mir-137,hsa-mir-33a,hsa-mir-222,hsa-mir-146a
Function	Chromatin Remodeling	3	0.42857143	3.50954575	0.0432	1	0.2605	hsa-mir-223,hsa-mir-512-2,hsa-mir-31
Function	Peritoneal Cavity Homeostasis(26495316)	4	0.17391304	1.42416349	0.3063	1	1	hsa-mir-31,hsa-mir-335,hsa-mir-146b,hsa-mir-93
Function	Hepatotoxicity	1	0.16666667	1.36482335	0.5428	1	1	hsa-mir-942
Function	Mesenchymal Stem Cell Proliferation	3	0.375	3.07085253	0.0631	1	0.3526	hsa-mir-188,hsa-mir-522,hsa-mir-517a
Function	Osteoblast Differentiation	2	0.08	0.65511521	0.8294	1	1	hsa-mir-590,hsa-mir-188
Function	Nephrotoxicity	3	0.17647059	1.44510708	0.3448	1	1	hsa-mir-186,hsa-mir-130b,hsa-mir-130a
Function	Adipocyte Lipolysis	2	0.25	2.04723502	0.2545	1	0.8921	hsa-mir-378a,hsa-mir-378c
Function	Adiponectin Signaling	1	0.25	2.04723502	0.4063	1	1	hsa-mir-378a
Function	Cellular Senescence	2	0.28571429	2.33969717	0.2067	1	0.8501	hsa-mir-335,hsa-mir-378a
Function	Cholesterol Efflux	4	0.26666667	2.18371736	0.1	1	0.5104	hsa-mir-216a,hsa-mir-33a,hsa-mir-378c,hsa-mir-378a
Function	Cytoskeleton Remodeling	2	0.33333333	2.7296467	0.16	1	0.7143	hsa-mir-378a,hsa-mir-378c
Function	Insulin Resistance	4	0.22222222	1.81976446	0.1684	1	0.7407	hsa-mir-223,hsa-mir-130a,hsa-mir-378a,hsa-mir-378c
Function	Vascular Homeostasis	4	0.33333333	2.7296467	0.0485	1	0.2814	hsa-mir-24-1,hsa-mir-24-2,hsa-mir-378a,hsa-mir-378c
Function	DNA Damage Repair	4	0.21052632	1.72398739	0.1942	1	0.8137	hsa-mir-24-1,hsa-mir-210,hsa-mir-24-2,hsa-mir-155
Function	Innate Immunity	8	0.19047619	1.55979811	0.1308	1	0.6117	hsa-mir-24-1,hsa-mir-146a,hsa-mir-146b,hsa-mir-24-2,hsa-mir-1270,hsa-mir-223,hsa-mir-142,hsa-mir-155
Function	Muscle Development	4	0.19047619	1.55979811	0.2488	1	0.8808	hsa-mir-24-1,hsa-mir-222,hsa-mir-24-2,hsa-mir-221
Function	Neuron Apoptosis	2	0.13333333	1.09185868	0.5634	1	1	hsa-mir-24-1,hsa-mir-24-2
Function	Autophagy	1	0.125	1.02361751	0.648	1	1	hsa-mir-106b
Function	Cell Division	1	0.05882353	0.48170236	0.8919	1	1	hsa-mir-106b
Function	Mitochondrial Dysfunction	2	0.66666667	5.45929339	0.041	1	0.2647	hsa-mir-570,hsa-mir-106b
Function	Cardiotoxicity	2	0.11764706	0.96340472	0.6337	1	1	hsa-mir-146a,hsa-mir-130a
Function	Regulation of Nf-Κb Pathway	4	0.57142857	4.67939434	5.62e-3	1	0.0688	hsa-mir-9-2,hsa-mir-146a,hsa-mir-9-1,hsa-mir-9-3
Function	Response to Estrogen	2	0.25	2.04723502	0.2545	1	0.8921	hsa-mir-223,hsa-mir-146a
Function	Toll-Like Receptor Signaling Pathway 	1	0.16666667	1.36482335	0.5428	1	1	hsa-mir-146a
Function	Cardiomyocyte Differentiation	2	0.66666667	5.45929339	0.041	1	0.2647	hsa-mir-590,hsa-mir-222
Function	Neuron Differentiation	3	0.21428571	1.75477288	0.2393	1	0.8554	hsa-mir-9-2,hsa-mir-9-3,hsa-mir-9-1
Function	Neutrophil Differentiation	3	1	8.18894009	1.80e-3	1	0.0293	hsa-mir-9-1,hsa-mir-9-3,hsa-mir-9-2
Function	Osteoclastogenesis	3	0.5	4.09447005	0.0271	1	0.1967	hsa-mir-9-2,hsa-mir-9-1,hsa-mir-9-3
Function	Natural Killer Cell Activation	1	0.2	1.63778802	0.479	1	1	hsa-mir-155
Function	Response to Cytokine	2	0.4	3.27557604	0.1157	1	0.5679	hsa-mir-210,hsa-mir-155
Function	T-Cell Differentiation	2	0.125	1.02361751	0.5997	1	1	hsa-mir-155,hsa-mir-150
Function	Carbohydrate Metabolism	1	0.11111111	0.90988223	0.6912	1	1	hsa-mir-186
Function	Cholesterol Homeostasis	2	0.22222222	1.81976446	0.3026	1	1	hsa-mir-223,hsa-mir-33a
Function	Endothelial Cell Proliferation	1	0.16666667	1.36482335	0.5428	1	1	hsa-mir-223
Function	Plasma Cell Differentiation	1	0.125	1.02361751	0.648	1	1	hsa-mir-223
Function	Tumor Cell Radiation Sensitivity	2	0.66666667	5.45929339	0.041	1	0.2647	hsa-mir-223,hsa-mir-525
Function	Cardiomyocyte Apoptosis	1	0.14285714	1.16984858	0.5988	1	1	hsa-mir-146b
Function	Megakaryocyte Differentiation	1	0.2	1.63778802	0.479	1	1	hsa-mir-146b
Function	Chemosensitivity Of Tumor Cells	1	0.125	1.02361751	0.648	1	1	hsa-mir-140
Function	Chondrogenic Differentiation	1	0.16666667	1.36482335	0.5428	1	1	hsa-mir-140
Function	Cleavage Stage Development	1	0.25	2.04723502	0.4063	1	1	hsa-mir-140
Function	Erythrocyte Differentiation	2	0.22222222	1.81976446	0.3026	1	1	hsa-mir-210,hsa-mir-142
Function	Regulation of Wnt Signaling Pathway	3	0.5	4.09447005	0.0271	1	0.1967	hsa-mir-203a,hsa-mir-203b,hsa-mir-142
Function	Cardiomyocyte Migration	1	0.5	4.09447005	0.2294	1	0.918	hsa-mir-222
Function	Cardiomyocyte Proliferation	1	0.25	2.04723502	0.4063	1	1	hsa-mir-222
Function	Epidermal Cell Differentiation	2	1	8.18894009	0.0149	1	0.1427	hsa-mir-944,hsa-mir-203a
Function	Mesenchymal-to-Epithelial Transition	2	0.5	4.09447005	0.0754	1	0.4071	hsa-mir-203b,hsa-mir-203a
Function	Vascular Smooth Muscle Cell Differentiation	1	0.11111111	0.90988223	0.6912	1	1	hsa-mir-18b
Function	B cell differentiation	2	0.28571429	2.33969717	0.2067	1	0.8501	hsa-mir-548d-2,hsa-mir-548d-1
Function	Cytokine Secretion	1	0.5	4.09447005	0.2294	1	0.918	hsa-mir-150
Function	Chemotaxis	1	0.33333333	2.7296467	0.3236	1	1	hsa-mir-210
Function	Circadian Rhythm	2	0.09090909	0.7444491	0.7705	1	1	hsa-mir-219a-2,hsa-mir-219b
Disease	Squamous Cell Carcinoma, Head and Neck	12	0.25	2.04723502	0.0101	1	0.1026	hsa-mir-24-1,hsa-mir-934,hsa-mir-548b,hsa-mir-106a,hsa-mir-146a,hsa-mir-24-2,hsa-mir-138-2,hsa-mir-210,hsa-mir-138-1,hsa-mir-93,hsa-mir-155,hsa-mir-150
Disease	Adenocarcinoma, Colon	5	0.2173913	1.78020437	0.1396	1	0.6462	hsa-mir-24-1,hsa-mir-135b,hsa-mir-224,hsa-mir-24-2,hsa-mir-18a
Disease	Adenocarcinoma, Lung	24	0.23762376	1.94588675	6.55e-4	0.5017	0.0128	hsa-mir-520b,hsa-mir-203a,hsa-mir-9-1,hsa-mir-224,hsa-mir-203b,hsa-mir-196b,hsa-mir-9-2,hsa-mir-210,hsa-mir-452,hsa-mir-155,hsa-mir-18a,hsa-mir-150,hsa-mir-106b,hsa-mir-146a,hsa-mir-512-2,hsa-mir-511,hsa-mir-590,hsa-mir-106a,hsa-mir-519a-1,hsa-mir-17,hsa-mir-766,hsa-mir-31,hsa-mir-140,hsa-mir-9-3
Disease	Allergic Rhinitis	11	0.52380952	4.28944481	8.19e-6	6.27e-3	4.04e-4	hsa-mir-20a,hsa-mir-224,hsa-mir-19b-1,hsa-mir-17,hsa-mir-146a,hsa-mir-92a-1,hsa-mir-19b-2,hsa-mir-19a,hsa-mir-92a-2,hsa-mir-155,hsa-mir-18a
Disease	Asthma	10	0.24390244	1.99730246	0.0218	1	0.1631	hsa-mir-9-1,hsa-mir-221,hsa-mir-224,hsa-mir-140,hsa-mir-146a,hsa-mir-18a,hsa-mir-9-3,hsa-mir-9-2,hsa-mir-19a,hsa-mir-155
Disease	Atrial Fibrillation	12	0.2	1.63778802	0.0537	1	0.306	hsa-mir-590,hsa-mir-19b-1,hsa-mir-106a,hsa-mir-18b,hsa-mir-106b,hsa-mir-19b-2,hsa-mir-146b,hsa-mir-18a,hsa-mir-93,hsa-mir-19a,hsa-mir-155,hsa-mir-150
Disease	Breast Neoplasms	33	0.22297297	1.82591232	2.22e-4	0.1703	5.20e-3	hsa-mir-9-1,hsa-mir-18b,hsa-mir-92a-1,hsa-mir-146b,hsa-mir-516a-2,hsa-mir-9-2,hsa-mir-210,hsa-mir-155,hsa-mir-19b-1,hsa-mir-135b,hsa-mir-129-2,hsa-mir-335,hsa-mir-222,hsa-mir-18a,hsa-mir-219a-2,hsa-mir-92a-2,hsa-mir-516a-1,hsa-mir-221,hsa-mir-106b,hsa-mir-19b-2,hsa-mir-146a,hsa-mir-93,hsa-mir-520a,hsa-mir-20a,hsa-mir-17,hsa-mir-31,hsa-mir-1248,hsa-mir-223,hsa-mir-505,hsa-mir-197,hsa-mir-142,hsa-mir-19a,hsa-mir-219b
Disease	Carcinoma, Breast	71	0.20402299	1.67073203	NaN	0.00e+0	0.00e+0	hsa-mir-18b,hsa-mir-660,hsa-mir-92a-1,hsa-mir-135b,hsa-mir-18a,hsa-mir-92a-2,hsa-mir-942,hsa-mir-130b,hsa-mir-24-2,hsa-mir-223,hsa-mir-219b,hsa-mir-24-1,hsa-mir-224,hsa-mir-196b,hsa-mir-210,hsa-mir-138-1,hsa-mir-155,hsa-mir-873,hsa-mir-335,hsa-mir-576,hsa-mir-219a-2,hsa-mir-150,hsa-mir-33a,hsa-mir-4521,hsa-mir-105-2,hsa-mir-19b-2,hsa-mir-421,hsa-mir-590,hsa-mir-20a,hsa-mir-106a,hsa-mir-140,hsa-mir-197,hsa-mir-142,hsa-mir-378c,hsa-mir-203a,hsa-mir-9-1,hsa-mir-6875,hsa-mir-203b,hsa-mir-129-1,hsa-mir-146b,hsa-mir-3200,hsa-mir-129-2,hsa-mir-378a,hsa-mir-765,hsa-mir-221,hsa-mir-106b,hsa-mir-146a,hsa-mir-502,hsa-mir-455,hsa-mir-561,hsa-mir-217,hsa-mir-509-1,hsa-mir-31,hsa-mir-548d-2,hsa-mir-526b,hsa-mir-130a,hsa-mir-137,hsa-mir-9-2,hsa-mir-452,hsa-mir-19b-1,hsa-mir-519a-2,hsa-mir-222,hsa-mir-105-1,hsa-mir-509-2,hsa-mir-138-2,hsa-mir-93,hsa-mir-519a-1,hsa-mir-17,hsa-mir-9-3,hsa-mir-505,hsa-mir-19a
Disease	Carcinoma, Breast, Triple Negative	14	0.23333333	1.91075269	0.0107	1	0.1064	hsa-mir-135b,hsa-mir-9-1,hsa-mir-221,hsa-mir-20a,hsa-mir-217,hsa-mir-17,hsa-mir-31,hsa-mir-18a,hsa-mir-223,hsa-mir-9-3,hsa-mir-9-2,hsa-mir-210,hsa-mir-93,hsa-mir-155
Disease	Carcinoma, Cervical	35	0.25362319	2.0769051	7.00e-6	5.36e-3	3.55e-4	hsa-mir-203a,hsa-mir-362,hsa-mir-9-1,hsa-mir-224,hsa-mir-92a-1,hsa-mir-203b,hsa-mir-129-1,hsa-mir-146b,hsa-mir-130a,hsa-mir-196b,hsa-mir-9-2,hsa-mir-944,hsa-mir-138-1,hsa-mir-155,hsa-mir-135b,hsa-mir-129-2,hsa-mir-335,hsa-mir-222,hsa-mir-18a,hsa-mir-92a-2,hsa-mir-150,hsa-mir-33a,hsa-mir-106b,hsa-mir-146a,hsa-mir-138-2,hsa-mir-421,hsa-mir-502,hsa-mir-93,hsa-mir-590,hsa-mir-20a,hsa-mir-17,hsa-mir-31,hsa-mir-9-3,hsa-mir-223,hsa-mir-142
